Country,total count
Afghanistan,201
Albania,43
Algeria,87
American Samoa,6
Angola,72
Anguilla,14
Antigua and Barbuda,13
Argentina,122
Armenia,12
Australia,243
Austria,52
Azerbaijan,16
Azores Islands,6
Bahamas (the),28
Bahrain,1
Bangladesh,354
Barbados,12
Belarus,14
Belgium,71
Belize,22
Benin,52
Bermuda,6
Bhutan,10
Bolivia (Plurinational State of),99
Bosnia and Herzegovina,26
Botswana,23
Brazil,244
Brunei Darussalam,1
Bulgaria,48
Burkina Faso,65
Burundi,61
Cabo Verde,20
Cambodia,42
Cameroon,54
Canada,141
Canary Is,7
Cayman Islands (the),7
Central African Republic,43
Chad,63
Chile,117
China,970
Colombia,200
Comoros (the),25
Congo (the Democratic Republic of the),138
Congo (the),34
Cook Islands (the),14
Costa Rica,74
Côte d’Ivoire,30
Croatia,30
Cuba,84
Cyprus,14
Czech Republic (the),27
Czechoslovakia,9
Denmark,16
Djibouti,26
Dominica,15
Dominican Republic (the),83
Ecuador,104
Egypt,36
El Salvador,71
Equatorial Guinea,1
Eritrea,8
Estonia,4
Ethiopia,120
Fiji,62
Finland,3
France,180
French Guiana,3
French Polynesia,8
Gabon,13
Gambia (the),32
Georgia,25
Germany,80
Germany Dem Rep,3
Germany Fed Rep,20
Ghana,53
Greece,102
Grenada,7
Guadeloupe,17
Guam,10
Guatemala,118
Guinea,36
Guinea-Bissau,25
Guyana,11
Haiti,128
Honduras,92
Hong Kong,137
Hungary,34
Iceland,13
India,740
Indonesia,560
Iran (Islamic Republic of),247
Iraq,26
Ireland,24
Israel,20
Italy,171
Jamaica,56
Japan,371
Jordan,18
Kazakhstan,25
Kenya,118
Kiribati,6
Korea (the Democratic People's Republic of),46
Korea (the Republic of),124
Kuwait,3
Kyrgyzstan,30
Lao People's Democratic Republic (the),53
Latvia,9
Lebanon,14
Lesotho,24
Liberia,24
Libya,5
Lithuania,14
Luxembourg,12
Macao,7
Macedonia (the former Yugoslav Republic of),23
Madagascar,89
Malawi,72
Malaysia,92
Maldives,7
Mali,62
Marshall Islands (the),7
Martinique,18
Mauritania,47
Mauritius,23
Mexico,284
Micronesia (Federated States of),11
Moldova (the Republic of),16
Mongolia,37
Montenegro,6
Montserrat,8
Morocco,61
Mozambique,116
Myanmar,83
Namibia,31
Nepal,129
Netherlands (the),39
Netherlands Antilles,4
New Caledonia,17
New Zealand,75
Nicaragua,85
Niger (the),99
Nigeria,134
Niue,6
Northern Mariana Islands (the),5
Norway,13
Oman,15
Pakistan,229
Palau,3
"Palestine, State of",9
Panama,60
Papua New Guinea,88
Paraguay,59
Peru,194
Philippines (the),659
Poland,57
Portugal,50
Puerto Rico,37
Qatar,1
Réunion,14
Romania,100
Russian Federation (the),168
Rwanda,50
Saint Barthélemy,1
"Saint Helena, Ascension and Tristan da Cunha",1
Saint Kitts and Nevis,10
Saint Lucia,20
Saint Martin (French Part),1
Saint Vincent and the Grenadines,22
Samoa,16
Sao Tome and Principe,4
Saudi Arabia,29
Senegal,53
Serbia,26
Serbia Montenegro,16
Seychelles,7
Sierra Leone,32
Singapore,4
Sint Maarten (Dutch part),1
Slovakia,22
Slovenia,10
Solomon Islands,39
Somalia,99
South Africa,109
South Sudan,23
Soviet Union,60
Spain,101
Sri Lanka,115
Sudan (the),101
Suriname,3
Swaziland,17
Sweden,15
Switzerland,59
Syrian Arab Republic,15
Taiwan (Province of China),130
Tajikistan,73
"Tanzania, United Republic of",112
Thailand,153
Timor-Leste,12
Togo,29
Tokelau,6
Tonga,24
Trinidad and Tobago,14
Tunisia,24
Turkey,203
Turkmenistan,2
Turks and Caicos Islands (the),7
Tuvalu,8
Uganda,101
Ukraine,38
United Arab Emirates (the),1
United Kingdom of Great Britain and Northern Ireland (the),98
United States of America (the),1059
Uruguay,34
Uzbekistan,8
Vanuatu,49
Venezuela (Bolivarian Republic of),58
Viet Nam,243
Virgin Island (British),4
Virgin Island (U.S.),8
Wallis and Futuna,5
Yemen,53
Yemen Arab Rep,9
Yemen P Dem Rep,7
Yugoslavia,22
Zambia,49
Zimbabwe,51
