Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.558,0.012,-0.295,0.060,0.369,0.289,0.045,0.425,0.880,1.043,0.977,1.412,1.034,0.696,1.339,0.443,1.410,0.720,0.803,0.849,1.472,1.206,0.212,1.258,0.492,1.099,1.755,1.233,1.596,0.902
Africa,0.604,0.255,0.173,0.444,0.353,0.643,0.549,0.590,0.944,0.654,0.509,0.728,0.886,0.975,0.848,1.124,0.843,0.850,0.798,1.052,1.509,0.870,0.829,0.998,1.055,1.208,1.501,1.174,1.242,1.433
Albania,0.791,-0.439,0.338,0.331,1.272,0.034,-0.062,0.157,0.653,1.015,1.197,1.108,0.948,1.037,0.635,0.166,0.514,1.332,1.323,1.081,1.173,1.144,1.476,1.561,1.495,1.675,1.582,1.450,2.196,2.078
Algeria,1.054,0.057,-0.148,0.566,0.781,0.848,0.853,1.072,1.065,1.585,1.084,1.878,1.441,1.517,1.100,1.301,1.490,1.287,1.237,1.339,2.324,1.297,1.267,1.207,1.772,1.311,1.929,1.472,1.437,1.317
American Samoa,0.587,0.926,0.889,0.302,0.094,0.888,0.877,1.209,-0.384,0.193,0.525,0.842,0.945,0.601,0.563,0.654,1.024,1.287,0.738,1.234,1.014,0.887,0.958,1.171,1.084,0.822,1.528,1.272,1.128,1.450
Americas,0.372,0.509,0.192,0.365,0.546,0.619,0.212,0.653,1.391,0.807,0.612,1.011,0.825,0.948,0.611,1.119,1.305,0.799,0.543,0.779,1.367,0.917,1.305,0.756,0.890,1.413,1.627,1.399,0.971,1.248
Andorra,1.276,0.401,0.452,0.246,1.502,1.223,0.507,1.775,0.909,1.071,1.288,1.070,1.250,1.861,0.911,0.595,1.709,1.004,0.877,1.450,0.320,1.908,1.176,0.735,1.883,1.882,1.738,1.716,2.072,1.970
Angola,0.732,0.290,0.378,0.346,0.273,0.755,0.475,0.356,1.100,0.493,0.140,0.354,0.694,0.890,0.294,0.975,0.411,0.639,0.397,0.510,1.057,0.652,0.481,0.903,0.759,1.280,1.520,0.803,1.282,1.744
Anguilla,0.210,0.210,0.087,0.324,0.353,0.502,0.136,0.522,0.913,0.357,0.127,0.448,0.643,0.629,0.327,0.614,0.547,0.683,0.154,0.509,0.842,0.380,0.552,0.642,0.643,0.976,0.936,0.794,0.571,0.919
Annex I countries,0.786,0.591,0.324,0.391,0.529,1.158,0.295,0.772,1.001,0.933,0.890,1.035,1.078,1.164,0.809,1.480,1.194,1.533,1.158,0.848,1.238,1.245,1.320,1.246,1.176,1.704,1.885,1.747,1.339,1.718
Antarctica,0.297,0.624,0.216,-0.842,-0.237,-0.162,0.829,-0.602,-0.550,-0.780,-0.534,-0.014,1.050,-0.168,0.136,0.960,-0.386,0.736,0.657,1.363,0.785,0.718,-0.081,1.669,0.458,-0.164,0.362,0.645,1.645,0.516
Antigua and Barbuda,0.177,0.236,0.255,0.338,0.297,0.573,0.193,0.557,0.929,0.426,0.181,,0.501,0.471,0.354,0.691,0.520,0.672,0.129,0.439,0.954,0.458,0.589,0.693,0.611,0.989,0.961,0.824,0.561,0.912
